,name,finger_x,finger_y,thumb_x,thumb_y
23,labeled-data\OC01_R_10s_lowfps\img023.png,609.4634455207138,416.1815789445275,539.5049783232802,840.2155535901962
24,labeled-data\OC01_R_10s_lowfps\img024.png,570.7167941771313,467.22293580028247,539.5601759683994,763.2108087832358
25,labeled-data\OC01_R_10s_lowfps\img025.png,566.9853544968437,625.4151956517752,593.0182864147827,669.2601336188303
26,labeled-data\OC01_R_10s_lowfps\img026.png,563.4242831426757,653.2494775027355,591.6333424964795,695.5630665334413
27,labeled-data\OC01_R_10s_lowfps\img027.png,553.5852510876134,650.9709914800724,581.3337543703349,692.5937464041544
28,labeled-data\OC01_R_10s_lowfps\img028.png,510.5064654156565,623.0682019135384,527.9154849025755,768.1433643045297
29,labeled-data\OC01_R_10s_lowfps\img029.png,515.3148204784811,515.8052686535103,500.32372036474544,898.0783215537723
30,labeled-data\OC01_R_10s_lowfps\img030.png,549.0459298537118,467.5434828257563,505.7536591719557,932.9353926546346
31,labeled-data\OC01_R_10s_lowfps\img031.png,563.7729442378134,463.8022707213352,508.4371322972495,917.2485074565108
32,labeled-data\OC01_R_10s_lowfps\img032.png,532.2485921556502,482.6613509980573,506.5438064383574,892.5850390159355
33,labeled-data\OC01_R_10s_lowfps\img033.png,506.540758132862,611.1178081201073,543.0686115205938,731.5244359537414
34,labeled-data\OC01_R_10s_lowfps\img034.png,542.6212359885704,673.7302908447571,595.3549061275181,705.3704929281257
35,labeled-data\OC01_R_10s_lowfps\img035.png,541.1432770147615,660.470996697309,595.3046709740648,701.736820666302
36,labeled-data\OC01_R_10s_lowfps\img036.png,522.9617553159142,628.0428983153363,544.2049040945949,717.2641231857959
37,labeled-data\OC01_R_10s_lowfps\img037.png,519.5127919448737,499.9695087054092,495.5753901503601,847.061834725856
38,labeled-data\OC01_R_10s_lowfps\img038.png,561.0702169902727,431.56737561118143,499.81625953629856,881.783962897891
39,labeled-data\OC01_R_10s_lowfps\img039.png,588.6257501576858,416.586062313956,507.70604846848846,893.4343044110118
40,labeled-data\OC01_R_10s_lowfps\img040.png,591.2802744554372,417.701874535171,505.6341160867552,886.50189929006
41,labeled-data\OC01_R_10s_lowfps\img041.png,521.6367614056886,471.4698384707523,496.680379303905,810.5830305596944
42,labeled-data\OC01_R_10s_lowfps\img042.png,535.4684000965723,635.4366654804948,563.7983554190353,677.1860733241245
43,labeled-data\OC01_R_10s_lowfps\img043.png,543.3078099515368,653.0909310752652,566.3068287512197,688.2659010041921
44,labeled-data\OC01_R_10s_lowfps\img044.png,529.6380106640313,637.3000753440947,557.2022915183195,685.8657130397456
45,labeled-data\OC01_R_10s_lowfps\img045.png,510.6030353883363,527.9746568587414,502.69298486749415,823.283209636848
46,labeled-data\OC01_R_10s_lowfps\img046.png,537.2206576308918,445.1152081371623,496.8068623934014,907.1796003524694
47,labeled-data\OC01_R_10s_lowfps\img047.png,560.9309649837055,436.2225612386656,507.9382320547739,928.297938435887
48,labeled-data\OC01_R_10s_lowfps\img048.png,559.4568027190072,437.65903562437165,501.657015798152,927.51222977862
49,labeled-data\OC01_R_10s_lowfps\img049.png,520.1688454327045,471.4892969647556,495.701804156446,909.017564493142
50,labeled-data\OC01_R_10s_lowfps\img050.png,499.45923359152,626.9175295556462,518.6357521402358,741.9766408479413
51,labeled-data\OC01_R_10s_lowfps\img051.png,540.5517733387683,676.228577252344,551.5097839380346,709.1026090501426
52,labeled-data\OC01_R_10s_lowfps\img052.png,543.2912759885849,657.0520587036282,559.7282918874841,698.1445984508765
53,labeled-data\OC01_R_10s_lowfps\img053.png,510.4172441907862,607.7410110069303,521.3752547900524,736.4976355483082
54,labeled-data\OC01_R_10s_lowfps\img054.png,535.0727680391351,465.2868732164696,502.1987362413366,840.5987362413371
55,labeled-data\OC01_R_10s_lowfps\img055.png,578.9048104362,394.0598043212393,515.8962494904195,846.0777415409702
56,labeled-data\OC01_R_10s_lowfps\img056.png,592.6023236852827,385.84129637178967,518.6357521402358,829.640725642071
57,labeled-data\OC01_R_10s_lowfps\img057.png,524.114757439869,457.06836526702,518.6357521402359,783.0691805951896
58,labeled-data\OC01_R_10s_lowfps\img058.png,546.0307786384014,640.6150428047289,565.2072971871173,670.749571952711
59,labeled-data\OC01_R_10s_lowfps\img059.png,559.7282918874841,632.3965348552792,573.4258051365669,659.7915613534448
60,labeled-data\OC01_R_10s_lowfps\img060.png,546.0307786384014,637.8755401549123,562.4677945373007,668.0100693028944
61,labeled-data\OC01_R_10s_lowfps\img061.png,510.4172441907862,539.2534447615164,518.6357521402358,796.7666938442723
62,labeled-data\OC01_R_10s_lowfps\img062.png,539.0193017969956,434.5704314726747,512.6927653837415,868.1839723968598
63,labeled-data\OC01_R_10s_lowfps\img063.png,574.6315697154154,402.2849903337195,516.267601607484,886.5481851752037
64,labeled-data\OC01_R_10s_lowfps\img064.png,571.1655715266961,401.8904089198196,515.0007586581837,865.2501150850463
65,labeled-data\OC01_R_10s_lowfps\img065.png,513.1567468406029,495.4214023644517,515.8962494904195,744.7161434977578
66,labeled-data\OC01_R_10s_lowfps\img066.png,547.2306624919172,623.3787318444658,574.2768177662376,660.9428363921334
67,labeled-data\OC01_R_10s_lowfps\img067.png,535.2808616644274,641.4159498123412,565.5163677309945,679.7917844352914
68,labeled-data\OC01_R_10s_lowfps\img068.png,526.1436450998087,620.9322579948757,547.8185651951295,683.0670289347951
69,labeled-data\OC01_R_10s_lowfps\img069.png,521.72702463867,486.64562156899206,499.0791798431873,803.7154487057473
70,labeled-data\OC01_R_10s_lowfps\img070.png,564.103937250674,402.3391056720718,496.0452638464558,852.118164691253
71,labeled-data\OC01_R_10s_lowfps\img071.png,596.0108387193801,374.4501327876702,501.7810665758981,869.9163540582366
72,labeled-data\OC01_R_10s_lowfps\img072.png,573.69833919163,382.9756013584961,497.6605318559072,858.2118972067632
73,labeled-data\OC01_R_10s_lowfps\img073.png,507.9629754296927,508.4824271232983,503.3343869153134,726.0260872991229
74,labeled-data\OC01_R_10s_lowfps\img074.png,541.2097352558185,622.1439810178936,553.7483742910398,651.4008054334101
75,labeled-data\OC01_R_10s_lowfps\img075.png,538.6287070715861,617.47739662765,557.5690754948544,652.6523665565768
76,labeled-data\OC01_R_10s_lowfps\img076.png,510.4005403977831,585.2582755629305,527.0496423674158,692.0900132014077
77,labeled-data\OC01_R_10s_lowfps\img077.png,518.298200295186,460.8196132625608,492.2304868419888,832.62752620027
78,labeled-data\OC01_R_10s_lowfps\img078.png,551.1349200809277,402.1939153706629,493.5999529009449,862.4736528105254
79,labeled-data\OC01_R_10s_lowfps\img079.png,561.2231590260528,407.8675056103285,488.0407993310417,869.177737259238
80,labeled-data\OC01_R_10s_lowfps\img080.png,502.1643470952038,479.49583398248944,485.515245125571,780.5670946000162
81,labeled-data\OC01_R_10s_lowfps\img081.png,527.4467208135858,643.3293393498548,543.6994652337979,683.2224392903752
82,labeled-data\OC01_R_10s_lowfps\img082.png,531.9156101162575,667.0920659142091,546.1007371055988,691.5936488957988
83,labeled-data\OC01_R_10s_lowfps\img083.png,515.164353931583,660.9545805719457,535.6130434876466,689.0715287115331
84,labeled-data\OC01_R_10s_lowfps\img084.png,475.6186493185743,601.5572397795233,488.9747753799671,807.2415811249732
85,labeled-data\OC01_R_10s_lowfps\img085.png,495.4077247126825,485.3549131797836,489.7428850383676,886.1423201375625
86,labeled-data\OC01_R_10s_lowfps\img086.png,525.9643045657292,433.59923385777927,496.3447922442352,908.9218839693744
87,labeled-data\OC01_R_10s_lowfps\img087.png,520.5898541296581,433.5527176946,493.5321849535604,903.003277899893
88,labeled-data\OC01_R_10s_lowfps\img088.png,461.3731109389745,547.4533692115397,486.420630478349,802.1031511951803
89,labeled-data\OC01_R_10s_lowfps\img089.png,514.4871551631388,669.6248940271275,537.9755147883468,700.0215947185732
90,labeled-data\OC01_R_10s_lowfps\img090.png,508.9089777490244,675.7500594944895,531.3207875580772,708.7086033313317
91,labeled-data\OC01_R_10s_lowfps\img091.png,481.9872262206608,663.3805722719619,508.5591734473567,749.135492867208
92,labeled-data\OC01_R_10s_lowfps\img092.png,473.9862144559039,532.6640306992825,482.0383196761149,869.2420289040983
93,labeled-data\OC01_R_10s_lowfps\img093.png,512.9410079845304,444.5596623764189,486.9080760665914,889.8598136043227
94,labeled-data\OC01_R_10s_lowfps\img094.png,509.9981813432329,437.1116647338904,488.1505527212562,874.0642371734236
95,labeled-data\OC01_R_10s_lowfps\img095.png,483.82371766617473,552.7551065413714,514.8536829553589,714.9571978257435
96,labeled-data\OC01_R_10s_lowfps\img096.png,508.9739852384575,664.6724194557594,545.0355256042183,694.0558967908237
97,labeled-data\OC01_R_10s_lowfps\img097.png,504.2189740825663,675.9446444345217,531.9674773652877,707.855423209651
98,labeled-data\OC01_R_10s_lowfps\img098.png,488.7477471432025,673.460059570049,508.091102128668,728.7267880999505
99,labeled-data\OC01_R_10s_lowfps\img099.png,469.0813408586271,553.7761593509613,471.9483024011157,843.3392751423136
100,labeled-data\OC01_R_10s_lowfps\img100.png,515.6800328074232,449.13033596485946,480.8562368826968,862.4736528105254
101,labeled-data\OC01_R_10s_lowfps\img101.png,544.0028437538338,415.5236745969863,487.7689474746591,889.7122053835405
102,labeled-data\OC01_R_10s_lowfps\img102.png,525.5006224703143,428.9386366964601,486.1691339998678,891.0836262242067
103,labeled-data\OC01_R_10s_lowfps\img103.png,458.5333403016421,571.3840239215699,487.6692687484996,783.6600740343883
104,labeled-data\OC01_R_10s_lowfps\img104.png,508.0300784492495,676.6252311685639,526.8150091985275,705.5251246289915
105,labeled-data\OC01_R_10s_lowfps\img105.png,504.2501249438242,679.6703127715436,524.9751481425374,709.4625336196933
106,labeled-data\OC01_R_10s_lowfps\img106.png,480.1523891885896,647.7430691168729,497.4405127068494,750.1419545711809
107,labeled-data\OC01_R_10s_lowfps\img107.png,476.54867034223946,524.7580181192832,478.9550758136454,864.0611895875468
108,labeled-data\OC01_R_10s_lowfps\img108.png,512.1213851295794,445.8843367758699,481.83982345590425,887.9951372115272
109,labeled-data\OC01_R_10s_lowfps\img109.png,519.9489241518116,429.7842176429674,482.0221316981668,884.9057270867058
110,labeled-data\OC01_R_10s_lowfps\img110.png,453.36620054554254,509.7498774309174,475.818309010815,842.0410827169497
111,labeled-data\OC01_R_10s_lowfps\img111.png,496.07777046964793,690.9978044788357,517.6663363016407,714.0256080329614
112,labeled-data\OC01_R_10s_lowfps\img112.png,496.9786498079152,706.3686330731791,514.8654962185823,731.1350357956412
113,labeled-data\OC01_R_10s_lowfps\img113.png,494.4418234926046,685.3473571817422,519.9566298305758,709.26748812359
114,labeled-data\OC01_R_10s_lowfps\img114.png,472.2836937244553,605.7417371023612,489.8999634433613,759.8840971427894
115,labeled-data\OC01_R_10s_lowfps\img115.png,499.6823384662541,480.3601825888935,480.33898348078856,828.5405723272726
116,labeled-data\OC01_R_10s_lowfps\img116.png,542.3112328186493,402.2762397683689,480.65428880247794,845.619027694172
117,labeled-data\OC01_R_10s_lowfps\img117.png,485.084547480272,464.7549309543693,476.656371379462,794.8584949027598
118,labeled-data\OC01_R_10s_lowfps\img118.png,500.3217946646732,644.7408192285037,525.2954476191225,678.0390231677693
119,labeled-data\OC01_R_10s_lowfps\img119.png,496.8335372253434,662.6823566726117,522.3253157597604,691.0065550441861
120,labeled-data\OC01_R_10s_lowfps\img120.png,501.6184557411007,646.5179899677933,524.588689786341,683.2703644401777
121,labeled-data\OC01_R_10s_lowfps\img121.png,475.4660124011913,593.6549035728717,492.2532811921489,736.3466882960109
122,labeled-data\OC01_R_10s_lowfps\img122.png,499.418336212408,467.7054834237596,475.7457541587669,837.589578011902
123,labeled-data\OC01_R_10s_lowfps\img123.png,543.6709468996835,398.4745796796183,479.596083510329,872.9336871579336
124,labeled-data\OC01_R_10s_lowfps\img124.png,561.6080428561811,387.4609569347691,485.6335619802322,883.4453037853032
125,labeled-data\OC01_R_10s_lowfps\img125.png,514.8683430307966,431.8774449860374,471.8121073354703,851.2770741664384
126,labeled-data\OC01_R_10s_lowfps\img126.png,480.045977708366,647.0726146163947,500.51769506798365,715.7990943236825
127,labeled-data\OC01_R_10s_lowfps\img127.png,494.32805750762105,689.8860221232427,514.4773856174809,712.9138256773683
128,labeled-data\OC01_R_10s_lowfps\img128.png,496.17980954567145,664.5524445992424,517.4575000296835,695.1391246700098
129,labeled-data\OC01_R_10s_lowfps\img129.png,461.7236525046866,594.5141860624938,477.3652880688265,779.369879093237
130,labeled-data\OC01_R_10s_lowfps\img130.png,490.28769696417936,488.44789261415576,475.2044856362271,854.9699278833957
131,labeled-data\OC01_R_10s_lowfps\img131.png,521.8065597936704,422.28245007914,476.2115087565018,874.0879558110842
132,labeled-data\OC01_R_10s_lowfps\img132.png,536.4251995772953,412.9399550382135,476.7083480105591,884.8487332729094
133,labeled-data\OC01_R_10s_lowfps\img133.png,501.5090851881203,439.6159383704013,469.3392436230069,876.833330550807
134,labeled-data\OC01_R_10s_lowfps\img134.png,438.6434837252792,621.6633907577191,480.6461974080042,785.736491080864
135,labeled-data\OC01_R_10s_lowfps\img135.png,488.6819192882676,698.2810381869347,516.8852216911829,722.8056489720784
136,labeled-data\OC01_R_10s_lowfps\img136.png,495.08198779598297,681.300105568087,522.427504516507,710.0848600107438
137,labeled-data\OC01_R_10s_lowfps\img137.png,476.66823645524335,631.0109519154275,495.12502100387496,745.7066844676385
138,labeled-data\OC01_R_10s_lowfps\img138.png,486.70581998950007,503.7369725058819,485.3011239726984,833.8405364542724
139,labeled-data\OC01_R_10s_lowfps\img139.png,525.1797616910173,405.9218864880403,491.9966967695224,853.8932629282226
140,labeled-data\OC01_R_10s_lowfps\img140.png,491.99185229534976,441.2296117044568,487.3805346336361,813.2092364160246
141,labeled-data\OC01_R_10s_lowfps\img141.png,497.5567455452887,630.7171171420769,533.6182859110495,666.7786575078376
142,labeled-data\OC01_R_10s_lowfps\img142.png,499.4752523073672,662.5915119875907,530.9082041587487,686.1662258761268
143,labeled-data\OC01_R_10s_lowfps\img143.png,497.86872622784006,658.2166898683781,529.1807821105624,691.01979603123
144,labeled-data\OC01_R_10s_lowfps\img144.png,498.73871376763947,651.5682175652487,524.126867186063,684.0086358221231
145,labeled-data\OC01_R_10s_lowfps\img145.png,478.0054235874504,549.5970735619587,487.4756077990846,790.410329229227
146,labeled-data\OC01_R_10s_lowfps\img146.png,518.1616718814314,429.4272749209808,495.7643112446312,829.5934516318114
147,labeled-data\OC01_R_10s_lowfps\img147.png,556.7118236212164,383.9524802113402,501.9575081237822,862.247530291868
148,labeled-data\OC01_R_10s_lowfps\img148.png,530.8226529900696,393.7582552336979,493.5176112323862,844.5275098057066
149,labeled-data\OC01_R_10s_lowfps\img149.png,477.7389602370994,530.3993694339731,505.6313872920341,716.8382239590624
150,labeled-data\OC01_R_10s_lowfps\img150.png,514.2304613584455,630.6574751308716,542.9806740957713,659.4076878681974
151,labeled-data\OC01_R_10s_lowfps\img151.png,511.1062044098959,613.9512642084246,546.511452374364,657.853771684365
152,labeled-data\OC01_R_10s_lowfps\img152.png,478.2958358534979,601.0403807287507,518.8823396176442,684.9191551746532
153,labeled-data\OC01_R_10s_lowfps\img153.png,484.68831957841786,483.3048629683773,487.65890623690007,792.2458754505262
154,labeled-data\OC01_R_10s_lowfps\img154.png,535.4367455021118,393.67293722153,491.7127035037157,830.9133572054897
155,labeled-data\OC01_R_10s_lowfps\img155.png,557.9789761550686,366.6533790603144,497.53099182548885,867.508106362546
156,labeled-data\OC01_R_10s_lowfps\img156.png,539.33114143425,389.66517829097,494.4211675528165,868.1886930965884
157,labeled-data\OC01_R_10s_lowfps\img157.png,452.6828907737299,532.1317510953498,478.90004512010194,770.9991573622947
158,labeled-data\OC01_R_10s_lowfps\img158.png,490.8037241355482,668.2106414718507,518.6097969271548,688.0721220372841
159,labeled-data\OC01_R_10s_lowfps\img159.png,496.4467881431272,669.2689993231987,519.7394114381252,698.0422398640787
160,labeled-data\OC01_R_10s_lowfps\img160.png,498.0901932500464,645.3494440764393,518.0783267350273,685.3257110464014
161,labeled-data\OC01_R_10s_lowfps\img161.png,478.233597457442,524.1184208755674,486.5926901475896,804.1480259955117
162,labeled-data\OC01_R_10s_lowfps\img162.png,513.2802334371618,422.8268273551597,497.0456319315032,853.0437672551112
163,labeled-data\OC01_R_10s_lowfps\img163.png,544.7772687873589,380.3429477171711,502.7054716939714,872.1477482226314
164,labeled-data\OC01_R_10s_lowfps\img164.png,527.4828241370234,389.33035402729286,494.2997592155284,865.9598319905843
165,labeled-data\OC06_R_10s_lowfps\img000.png,933.2868384916026,481.53494243160446,918.380321115454,873.3633991760855
166,labeled-data\OC06_R_10s_lowfps\img001.png,939.6753459385234,475.14643498468354,918.380321115454,869.1043942114716
167,labeled-data\OC06_R_10s_lowfps\img002.png,948.1933558677512,468.7579275377627,920.5098235977608,856.3273793176298
168,labeled-data\OC06_R_10s_lowfps\img003.png,937.5458434562164,473.0169325023767,924.7688285623748,862.7158867645506
169,labeled-data\OC06_R_10s_lowfps\img004.png,933.2868384916026,479.4054399492975,926.8983310446818,877.6224041406994
170,labeled-data\OC06_R_10s_lowfps\img005.png,941.8048484208304,466.62842505545575,924.7688285623748,866.9748917291646
171,labeled-data\OC06_R_10s_lowfps\img006.png,943.9343509031372,462.3694200908418,929.0278335269886,864.8453892468576
172,labeled-data\OC06_R_10s_lowfps\img007.png,939.6753459385234,481.53494243160446,929.0278335269886,860.5863842822437
173,labeled-data\OC06_R_10s_lowfps\img008.png,937.5458434562164,517.7364846308228,937.5458434562164,820.1258371184115
174,labeled-data\OC06_R_10s_lowfps\img009.png,992.9129079961974,630.6001161930918,988.6539030315836,677.4491708038449
175,labeled-data\OC06_R_10s_lowfps\img010.png,1009.9489278546532,619.9526037815571,999.3014154431183,668.9311608746171
176,labeled-data\OC06_R_10s_lowfps\img011.png,1026.9849477131088,611.4345938523292,1016.337435301574,658.2836484630824
177,labeled-data\OC06_R_10s_lowfps\img012.png,1022.7259427484952,615.6935988169431,1018.4669377838812,656.1541459807754
178,labeled-data\OC06_R_10s_lowfps\img013.png,1016.337435301574,573.1035491708038,1005.6899228900396,624.211608746171
179,labeled-data\OC06_R_10s_lowfps\img014.png,1012.07843033696,479.4054399492975,986.5244005492766,660.4131509453892
180,labeled-data\OC06_R_10s_lowfps\img015.png,1071.7044998415552,245.1601668955318,963.0998732439,728.5572303792121
181,labeled-data\OC06_R_10s_lowfps\img016.png,1161.1436040984474,162.1095700855601,971.617883173128,671.0606633569241
182,labeled-data\OC06_R_10s_lowfps\img017.png,1133.460071828457,174.88658497940196,999.3014154431183,647.6361360515475
183,labeled-data\OC06_R_10s_lowfps\img018.png,1067.4454948769412,294.1387239885919,1014.2079328192672,568.84454420619
184,labeled-data\OC06_R_10s_lowfps\img019.png,1065.315992394634,385.70733072779126,1037.6324601246438,568.8445442061899
185,labeled-data\OC06_R_10s_lowfps\img020.png,1146.2370867222987,434.68588782085135,1131.3305693461498,487.9234498785253
186,labeled-data\OC06_R_10s_lowfps\img021.png,1103.6470370761594,487.9234498785254,1095.1290271469315,539.0315094538923
187,labeled-data\OC06_R_10s_lowfps\img022.png,1078.093007288476,487.9234498785254,1058.9274849477133,541.1610119361994
188,labeled-data\OC06_R_10s_lowfps\img023.png,1073.834002323862,455.980912643921,1046.1504700538717,545.4200169008134
189,labeled-data\OC06_R_10s_lowfps\img024.png,1182.4386289215172,196.18160980247148,997.1719129608114,771.1472800253513
190,labeled-data\OC06_R_10s_lowfps\img025.png,1242.064698426112,172.7570824970951,999.3014154431183,781.7947924368862
191,labeled-data\OC06_R_10s_lowfps\img026.png,1242.064698426112,172.7570824970951,1018.4669377838812,796.7013098130349
192,labeled-data\OC06_R_10s_lowfps\img027.png,1212.2516636738146,191.92260483785776,1012.07843033696,790.3128023661139
193,labeled-data\OC06_R_10s_lowfps\img028.png,1165.4026090630614,217.47663462554124,1005.6899228900392,794.5718073307279
194,labeled-data\OC06_R_10s_lowfps\img029.png,1050.4094750184854,494.3119573254463,1035.5029576423367,605.0460864054082
195,labeled-data\OC06_R_10s_lowfps\img030.png,1082.35201225309,513.4774796662089,1056.7979824654064,566.7150417238829
196,labeled-data\OC06_R_10s_lowfps\img031.png,1071.704499841555,530.5134995246647,1054.6684799830996,573.1035491708038
197,labeled-data\OC06_R_10s_lowfps\img032.png,1044.0209675715646,539.0315094538925,1029.114450195416,588.0100665469525
198,labeled-data\OC06_R_10s_lowfps\img033.png,1009.9489278546532,507.08897221928805,1001.4309179254252,602.9165839231013
199,labeled-data\OC06_R_10s_lowfps\img034.png,1069.574997359248,268.5846942009082,963.0998732439,728.5572303792121
200,labeled-data\OC06_R_10s_lowfps\img035.png,1112.1650470053874,211.08812717862045,956.7113657969792,743.4637477553608
201,labeled-data\OC06_R_10s_lowfps\img036.png,1165.4026090630614,177.01608746170882,971.617883173128,722.1687229322912
202,labeled-data\OC06_R_10s_lowfps\img037.png,1161.1436040984474,174.88658497940196,988.6539030315836,728.5572303792121
203,labeled-data\OC06_R_10s_lowfps\img038.png,1048.2799725361783,292.0092215062848,982.2653955846628,668.9311608746171
204,labeled-data\OC06_R_10s_lowfps\img039.png,1035.5029576423367,485.7939473962184,1033.3734551600298,536.9020069715855
205,labeled-data\OC06_R_10s_lowfps\img040.png,1041.8914650892575,524.1249920777437,1044.0209675715646,568.8445442061899
206,labeled-data\OC06_R_10s_lowfps\img041.png,1033.3734551600298,539.0315094538925,1031.2439526777227,588.0100665469525
207,labeled-data\OC06_R_10s_lowfps\img042.png,1029.114450195416,549.6790218654272,1029.114450195416,600.7870814407944
208,labeled-data\OC06_R_10s_lowfps\img043.png,1026.9849477131088,547.5495193831204,1033.3734551600298,598.6575789584874
209,labeled-data\OC06_R_10s_lowfps\img044.png,1020.596440266188,553.9380268300412,1022.7259427484952,600.7870814407944
210,labeled-data\OC06_R_10s_lowfps\img045.png,1037.6324601246438,347.37628604626593,975.8768881377418,715.7802154853703
211,labeled-data\OC06_R_10s_lowfps\img046.png,1103.6470370761594,238.7716594486108,978.0063906200488,798.8308122953418
212,labeled-data\OC06_R_10s_lowfps\img047.png,1148.3665892046058,208.9586246963133,982.2653955846628,773.2767825076583
213,labeled-data\OC06_R_10s_lowfps\img048.png,1161.1436040984474,200.44061476708544,980.1358931023558,779.6652899545792
214,labeled-data\OC06_R_10s_lowfps\img049.png,1139.848579275378,213.2176296609273,971.617883173128,777.5357874722722
215,labeled-data\OC06_R_10s_lowfps\img050.png,1082.35201225309,257.9371817893734,958.840868279286,743.4637477553608
216,labeled-data\OC06_R_10s_lowfps\img051.png,1005.6899228900392,498.57096229006015,1001.4309179254252,562.4560367592691
217,labeled-data\OC06_R_10s_lowfps\img052.png,1003.5604204077324,534.7725044892784,1005.6899228900392,583.7510615823386
218,labeled-data\OC06_R_10s_lowfps\img053.png,1016.337435301574,536.9020069715855,1016.3374353015744,583.7510615823387
219,labeled-data\OC06_R_10s_lowfps\img054.png,1024.855445230802,545.4200169008134,1014.2079328192672,585.8805640646456
220,labeled-data\OC06_R_10s_lowfps\img055.png,1031.2439526777227,543.2905144185064,1022.7259427484948,583.7510615823387
221,labeled-data\OC06_R_10s_lowfps\img056.png,1022.7259427484952,519.8659871131298,1022.7259427484952,573.1035491708038
222,labeled-data\OC06_R_10s_lowfps\img057.png,1116.4240519700013,255.80767930706656,965.2293757262072,726.4277278969051
223,labeled-data\OC06_R_10s_lowfps\img058.png,1163.2731065807543,206.82912221400647,963.0998732439,739.2047427907469
224,labeled-data\OC06_R_10s_lowfps\img059.png,1201.60415126228,196.18160980247148,980.1358931023558,747.7227527199748
225,labeled-data\OC06_R_10s_lowfps\img060.png,1184.568131403824,198.31111228477857,980.1358931023558,756.2407626492026
226,labeled-data\OC06_R_10s_lowfps\img061.png,1169.6616140276751,206.82912221400647,967.358878208514,751.9817576845886
227,labeled-data\OC06_R_10s_lowfps\img062.png,1054.6684799830994,328.21076370550304,978.0063906200488,660.4131509453892
228,labeled-data\OC06_R_10s_lowfps\img063.png,1037.6324601246438,500.7004647723671,1024.855445230802,556.067529312348
229,labeled-data\OC06_R_10s_lowfps\img064.png,1029.114450195416,528.3839970423577,1018.4669377838812,577.3625541354178
230,labeled-data\OC06_R_10s_lowfps\img065.png,1024.855445230802,541.1610119361994,1018.4669377838812,585.8805640646456
231,labeled-data\OC06_R_10s_lowfps\img066.png,1029.114450195416,545.4200169008134,1022.7259427484952,585.8805640646457
232,labeled-data\OC06_R_10s_lowfps\img067.png,1009.9489278546532,524.1249920777437,1001.4309179254252,596.5280764761804
233,labeled-data\OC06_R_10s_lowfps\img068.png,1086.611017217704,283.4912115770572,941.8048484208304,775.4062849899652
234,labeled-data\OC06_R_10s_lowfps\img069.png,1110.0355445230805,245.1601668955318,939.6753459385234,783.9242949191931
235,labeled-data\OC06_R_10s_lowfps\img070.png,1135.589574310764,232.38315200168995,943.9343509031372,790.3128023661139
